stt,word,lucky_number
998,thấy tiền,02-52-82
999,thấy treo cổ nhiều người,86
1000,thấy xác chết,04-60
1001,thèm khát tình yêu,86-31
1002,thi đỗ,26-28
1003,thi thố,00-62
1004,thìa,05-38
1005,thiên tài,49-79-29
1006,thiếu ngũ văn,63
1007,thỏ con,38-78
1008,thổ công,57-79
1009,thổ địa,38-78-87
1010,thợ làm bánh,03-21
1011,thợ xây,78-87-73
1012,thoát trấn lột,00-08
1013,thóc,34-74
1014,thỏi vàng,82-37
1015,thôn quê,57-75
1016,thua bạc,25-35
1017,thua xì,39-93-63
1018,thùng xách nước,70-93
1019,thước kẻ,11-05
1020,thuốc lá giả,92-29
1021,thuốc lá,08-85
1022,thuyền bị đắm,08-10-64
1023,thuyền xa lầy,73-23
1024,ti vi,78-73
1025,tiền giả,00-86
1026,tiền hai nghìn,53-96
1027,tiền hai trăm,12-78-89
1028,tiền năm nghìn,87
1029,tiền năm trăm,56-46
1030,tiên trên cao,47
1031,tiền,62-12-67
1032,tiết canh lợn,38-83
1033,tin mừng ở xa,12-02
1034,tin mừng,12-32
1035,tin xấu đột ngột,01-13
1036,tin xấu,02-03-04
1037,tình báo,49
1038,tình nhân ồn ào,47-48
1039,tính tiền nhầm,39-72
1040,tinh trùng,07-65-88
1041,tình tứ nói chuyện,34
1042,tình tứ,64-74-84
1043,tờ báo,49-98
1044,tờ giấy,89-39
1045,tòa án,39-04
1046,trắng hồng,24-84
1047,tranh,04-48-85
1048,trâu rừng,83-63
1049,trẻ con cãi nhau,98-89
1050,trèo nóc nhà,48-98
1051,trèo thang,78-33-79
1052,trời sao lác đác,31-49
1053,trời xanh,37-77-78
1054,trộm cắp,05-45-85
1055,trồng cây,84-97
1056,trông thấy hai đống cứt tròn,01-02-20
1057,trúng đề,26-36-76
1058,trúng quả đậm,75-84
1059,trúng số đề,86-68
1060,trường học,56-69-83-09
1061,từ giã,31-32-87
1062,tử hình sống lại,48-51-71
1063,tủ lạnh,24
1064,tủ lệch,89-85
1065,tự nhiên cười,14-21
1066,tủ sách,37-75
1067,tù tội,92-29
1068,tử vi,78
1069,tượng đá,06-56
1070,tuồng lương,09-92
1071,vào nhà máy,08-18-68
1072,vào vườn,09-90
1073,vây hãm,03-04
1074,vay mượn,06-86
1075,ve gái,65-63
1076,vệ sĩ,10-20-80-81
1077,vé sổ số,08-28
1078,vé thưởng,29-86
1079,vết máu,05-32-64
1080,viên đá nhỏ,00-05-38
1081,viên thuốc bổ,01
1082,vợ biến thành mèo,54
1083,vợ chồng cãi nhau,01-02-52
1084,vợ tự tử,08-18-56
1085,vợ vá nhờ quần áo,07-70
1086,vòng hoa,14-41
1087,vú,93-51-90-09
1088,vua quan,04
1089,vực thẳm,17-71
1090,xác chết nhiều,07-38-78
1091,xác chết,12-52
1092,xây bể nước,21-32
1093,xây dựng bàn thờ,27-72
1094,xây nhà rỡ đi,08-10
1095,xây nhà,14-16
1096,xe bò ba gác,07-87
1097,xe cần cẩu,56-65-51
1098,xe cấp cứu,05-50
1099,xe đạp,02-18-28
1100,xe điện,01-06-16
1101,xe đu,31-63-68
1102,xe hơi,82-92
1103,xe lu,31-41
1104,xe máy,42-47-72
1105,xe ngựa,15-52-92
1106,xem đá bóng,72-96
1107,xem đám ma,25-52
1108,xem đánh nhau,89
1109,xem hai bà cãi nhau,08
1110,xem kịch,13-63-35
1111,xem phim,90-78
1112,xì hơi xe,42-92
1113,xích lô,18-19-94
1114,xích mích với bạn,06
1115,xiên cá rô,03-05-50
1116,xóm cũ,64-47
1117,xung phong,92-94
1118,yêu đương,24-87-86
1119,yêu,75-70
