STT,Word,Lucky_number
807,Nhà nghỉ mát,32
809,Nhà ngói đỏ,84 - 92
810,Nhà ở bình thường,26 - 66 - 86 - 96
811,Nhà to,51 - 89
812,Nhà tối tăm,25 - 65
813,Nhà trẻ,27 - 37
814,Nhà trọ,92 - 19
815,Nhà trong rừng,02 - 18 - 51
816,Nhà vệ sinh,34 - 71
817,Nhà xe,65 - 66 - 67
818,Nhận được của bố thí,48
819,Nhẫn ngọc,"37, 73"
820,Nhận tiền của người con gái,88
821,Nhẫn vàng,01 - 10 - 00
822,Nhện trăng xa,63
823,Nhện,56
824,Nhiều ghế,44 - 84
825,Nhiều hũ nước đái,96 - 69
826,Nhiều màu,78
827,Nhiều người đòi nợ mình,56
828,Nhìn thấy máu người chảy,09 - 54
829,Nhổ tóc sâu,64 - 46 - 41
830,Nóc nhà,86 - 68
831,Nồi áp suất,84 - 39
832,Nói chuyện với bố,51 - 56
833,Nói chuyện với mẹ,57 - 75
834,Nói chuyện với người chết,84 - 29
835,Nói chuyện với người đã chết,75 - 76 - 90 - 92
836,Nói dối bạn,09 - 37
837,Nói tục,41 - 91 - 96
838,Nữ rụng răng,03 - 53 - 85
839,Nước chảy,35 - 45 - 65
840,Nước đái có máu,43
841,Nước dâng cao,06 - 56 - 66
842,Nước dâng vào ngõ,06 - 56
843,Nước dâng,06 - 66 - 86 - 56 - 07 - 70 - 50
844,Nước lụt,67 - 68
845,Nước mắt,87 - 85
846,Nước sông dâng cao,89 - 98
847,Nước to vào nhà,06 - 08 - 56
848,Nướng sắn,99 - 94
849,Ổ khóa,95 - 86
850,Ô tô cháy,47 - 56
851,Ô tô hồ lô kẹt chết người,12 - 21 - 26
852,Ô tô kẹp chết người,07 - 70
853,Ôm nhau,64 - 85 - 97
854,Ông chủ,21 - 26 - 22 - 27
855,Ông cụ già,15 - 65 - 56 - 96
856,Ông già cho quà,75
857,Ông già,36 - 56 - 76
858,"Ông sãi, bà sãi",16 - 56 - 36
859,Ông sư,16 - 61 - 36
860,Ông táo,40 - 45 - 80 - 85
861,Ông trời,37
862,Ông tượng,82 - 06 - 43 - 88
863,Phá ra cười,41 - 52 - 57
864,Phải lội xuống ao,07
865,Pháp sư,09 - 29 - 35 - 96
866,Phát minh,06 - 17 - 37 - 97
867,Phát sư,08 - 25 - 50
868,Phật,57 - 75
869,Phóc mơ tuya,99
870,Phóng sự,25 - 26 - 27
871,Phụ hồ,03 - 08 - 83
872,Phụ lòng,18 - 28 - 78
873,Phun nước trong nhà,06 - 66
874,Phượng hoàng,13 - 78 - 98
875,Quả bàng,31 - 32
876,Quả bóng,11 - 45 - 72
877,Quả bưởi,01 - 09 - 70
878,Quả cam,05 - 25 - 55
879,Qụa chết,36 - 80 - 85
880,Quả chuối,34 - 43
881,Quả đu đủ,58 - 89
882,Quả dừa,50 - 70 - 09
883,Quả na,13 - 14
884,Quả quất,30 - 70
885,Quả rụng,89 - 93
886,Quả trên cây,84 - 48
887,Quả,26 - 60
888,Quái vật,30 - 39 - 17
889,Quần áo vá nhiều,01 - 11
890,Quần áo,09 - 06
891,Quản bưởi,17 - 71
892,Quần lót,02 - 59
893,Quán rượu ngoài trời,69
894,Quan tài bố nuôi,62 - 63
895,Quan tài chôn rồi,01 - 51
896,Quan tài chưa chôn,04
897,Quan tài có xác chết,74 - 21
898,Quan tài mở nắp,31 - 36
899,Quan tài,06 - 56 - 26
900,Quạt trần,82
901,Quét nhà,34 - 43
902,Cuốc xẻng,68
903,Quyển vở,18 - 19
904,Ra đa,45 - 54
905,Ra suối mưa to,35 - 53
906,Rắn bơi,21 - 82
907,Rắn cắn gót chân,57
908,Rắn cắn người,43 - 73
909,Rắn cắn,14 - 59 - 95
910,Rắn đất,38 - 78
911,Rắn đuổi,69
912,Rắn hai đầu,15 - 51
913,Rắn quấn chân,96
914,Rắn quấn người,49 - 97
915,Rắn quấn,05 - 15 - 51
916,Rắn rết,00 - 20 - 28 - 40 - 82
917,Râu mọc dài,25 - 57
918,Râu,03 - 53 - 07 - 75
919,Rệp,26 - 64
920,Rổ đỗ,28 - 48 - 68 - 86
921,Rổ trứng,70 - 30
922,Rơi kính đeo,32 - 89
923,Rơm rạ,36 - 78
924,Rồng bay,57 - 34
925,Rùa biển,87
926,Rửa chân,86 - 68
927,Rùa,56
928,Rụng cả hàm răng,03
929,Rụng một chiếc răng,31
930,Rụng răng,31 - 32 - 52 - 62
931,Sấm sét,94 - 95 - 54
932,Sang nhà láng giềng,42 - 43 - 64
933,Sao trên trời,33 - 38
934,Sắt,93 - 58
935,Say rượu,35 - 45 - 90
936,Sinh đẻ,27 - 56
937,Sinh lí hai người,02 - 22
938,Sổ điểm,30 - 35
939,Sợ ma,75 - 23 - 96
940,Sổ rách bìa,45 - 49
941,Sổ sách,38 - 88
942,Sông ngòi,42
943,Sư sãi bắt đồn,76 - 46
944,Sư tử,"25, 45"
945,Sửa lại hố xí,79 - 70
946,Súng ak,86
947,Súng b40,18 - 64
948,Súng bắn dài,68
949,Súng hơi,00 - 97
950,Suối nước đục,09 - 18
951,Suối nước trong,41 - 47
952,Sụt lở,09 - 13
953,Tai nạn ô tô,69 - 54
954,Tai nạn tàu hỏa,07 - 26
955,Tai nạn xe máy,95
956,Tai nạn,00 - 07 - 70 - 46
957,Tắm bồn,61 - 82 - 76
958,Tắm nước lạnh,61 - 86
959,Tắm nước trong,16 - 61
960,Tắm sông,94 - 76
961,Tàn sát,05 - 59
962,Tảng đá,20 - 40 - 60 - 80
963,Tập võ,70 - 72
964,Tầu bay,10 - 11
965,Tàu biển,11 - 70 - 90
966,Tầu hỏa,74 - 72
967,Tàu thủy cháy,38 - 83
968,Tàu thủy,11 - 16
969,Tẩy rửa,62 - 41 - 10 - 01
970,Tên lửa,01
971,Thạch thùng,32 - 72
972,Tham ăn,69 - 84
973,Thẩm phán quan tòa,24 - 89
974,Thần chết,83 - 93
975,Thần tài,36 - 39 - 79 - 10
976,Than thở,90 - 95
977,Thằng điên,74 - 75
978,Thằng hề,03 - 08
979,Thằng ngốc,29 - 90
980,Thành lũy,40 - 45 - 54
981,Thanh sắt,19 - 09
982,Thất vọng,12 - 71 - 64
983,Thấy bể nước,87 - 54 - 61
984,Thầy bói,14 - 64 - 49
985,Thấy có nước mà không người tắm,32 - 64 - 68 - 37
986,Thầy cúng,"40, 45"
987,Thấy dây dầu,39
988,Thấy người bé nhỏ,45 - 61
989,Thấy người bị ám sát,22 - 37
990,Thấy người bị treo cổ,95 - 97
991,Thấy người cao lớn,21 - 32
992,Thấy người còn trẻ,64 - 78
993,Thấy người đi dạo,32 - 89
994,Thấy người đội mũ,56 - 89
995,Thấy người đốt làng,06 - 21 - 48
996,Thấy người mua,68
997,Thấy người to béo,25 - 75 - 74
998,Thấy tiền,02 - 52 - 82
999,Thấy treo cổ nhiều người,86
1000,Thấy xác chết,04 - 60
1001,Thèm khát tình yêu,86 - 31
1002,Thi đỗ,26 - 28
1003,Thi thố,00 - 62
1004,Thìa,05 - 38
1005,Thiên tài,49 - 79 - 29
1006,Thiếu ngũ văn,63
1007,Thỏ con,38 - 78
1008,Thổ công,57 - 79
1009,Thổ địa,38 - 78 - 87
1010,Thợ làm bánh,03 - 21
1011,Thợ xây,78 - 87 - 73
1012,Thoát trấn lột,00 - 08
1013,Thóc,34 - 74
1014,Thỏi vàng,82 - 37
1015,Thôn quê,57 - 75
1016,Thua bạc,25 - 35
1017,Thua xì,39 - 93 - 63
1018,Thùng xách nước,70 - 93
1019,Thước kẻ,11 - 05
1020,Thuốc lá giả,92 - 29
1021,Thuốc lá,08 - 85
1022,Thuyền bị đắm,08 - 10 - 64
1023,Thuyền xa lầy,73 - 23
1024,Ti vi,78 - 73
1025,Tiền giả,00 - 86
1026,Tiền hai nghìn,53 - 96
1027,Tiền hai trăm,12 - 78 - 89
1028,Tiền năm nghìn,87
1029,Tiền năm trăm,56 - 46
1030,Tiên trên cao,47
1031,Tiền,62 - 12 - 67
1032,Tiết canh lợn,38 - 83
1033,Tin mừng ở xa,12 - 02
1034,Tin mừng,12 - 32
1035,Tin xấu đột ngột,01 - 13
1036,Tin xấu,02 - 03 - 04
1037,Tình báo,49
1038,Tình nhân ồn ào,47 - 48
1039,Tính tiền nhầm,39 - 72
1040,Tinh trùng,07 - 65 - 88
1041,Tình tứ nói chuyện,34
1042,Tình tứ,64 - 74 - 84
1043,Tờ báo,49 - 98
1044,Tờ giấy,89 - 39
1045,Tòa án,39 - 04
1046,Trắng hồng,24 - 84
1047,Tranh,04 - 48 - 85
1048,Trâu rừng,83 - 63
1049,Trẻ con cãi nhau,98 - 89
1050,Trèo nóc nhà,48 - 98
1051,Trèo thang,78 - 33 - 79
1052,Trời sao lác đác,31 - 49
1053,Trời xanh,37 - 77 - 78
1054,Trộm cắp,05 - 45 - 85
1055,Trồng cây,84 - 97
1056,Trông thấy hai đống cứt tròn,01 - 02 - 20
1057,Trúng đề,26 - 36 - 76
1058,Trúng quả đậm,75 - 84
1059,Trúng số đề,86 - 68
1060,Trường học,56 - 69 - 83 - 09
1061,Từ giã,31 - 32 - 87
1062,Tử hình sống lại,48 - 51 - 71
1063,Tủ lạnh,24
1064,Tủ lệch,89 - 85
1065,Tự nhiên cười,14 - 21
1066,Tủ sách,37 - 75
1067,Tù tội,92 - 29
1068,Tử vi,78
1069,Tượng đá,06 - 56
1070,Tuồng lương,09 - 92
1071,Vào nhà máy,08 - 18 - 68
1072,Vào vườn,09 - 90
1073,Vây hãm,03 - 04
1074,Vay mượn,06 - 86
1075,Ve gái,65 - 63
1076,Vệ sĩ,10 - 20 - 80 - 81
1077,Vé sổ số,08 - 28
1078,Vé thưởng,29 - 86
1079,Vết máu,05 - 32 - 64
1080,Viên đá nhỏ,00 - 05 - 38
1081,Viên thuốc bổ,01
1082,Vợ biến thành mèo,54
1083,Vợ chồng cãi nhau,01 - 02 - 52
1084,Vợ tự tử,08 - 18 - 56
1085,Vợ vá nhờ quần áo,07 - 70
1086,Vòng hoa,14 - 41
1087,Vú,93 - 51 - 90 - 09
1088,Vua quan,04
1089,Vực thẳm,17 - 71
1090,Xác chết nhiều,07 - 38 - 78
1091,Xác chết,12 - 52
1092,Xây bể nước,21 - 32
1093,Xây dựng bàn thờ,27 - 72
1094,Xây nhà rỡ đi,08 - 10
1095,Xây nhà,14 - 16
1096,Xe bò ba gác,07 - 87
1097,Xe cần cẩu,56 - 65 - 51
1098,Xe cấp cứu,05 - 50
1099,Xe đạp,02 - 18 - 28
1100,Xe điện,01 - 06 - 16
1101,Xe đu,31 - 63 - 68
1102,Xe hơi,82 - 92
1103,Xe lu,31 - 41
1104,Xe máy,42 - 47 - 72
1105,Xe ngựa,15 - 52 - 92
1106,Xem đá bóng,72 - 96
1107,Xem đám ma,25 - 52
1108,Xem đánh nhau,89
1109,Xem hai bà cãi nhau,08
1110,Xem kịch,13 - 63 - 35
1111,Xem phim,90 - 78
1112,Xì hơi xe,42 - 92
1113,Xích lô,18 - 19 - 94
1114,Xích mích với bạn,06
1115,Xiên cá rô,03 - 05 - 50
1116,Xóm cũ,64 - 47
1117,Xung phong,92 - 94
1118,Yêu đương,24 - 87 - 86
1119,Yêu,75 - 70
